#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B027D8
#Date Time: 2023-04-14 15:05:44.866
#Start: 10 Hz
#Stop: 8000 Hz
#Steps: 201
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47316 V
#Offset: 0.000111453 V
#Relative: no
#Channel: Channel 2
#Range: 5.4696 V
#Offset: 0.000228279 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.1729110223950835,-70.18612503896023,-60.00038711464168
49.95,-0.006787444789364654,-56.27999608965578,-131.6801564023389
89.90000000000001,-0.001256340895375061,-51.01204100841665,-177.4498125791098
129.85,9.247663405616128e-05,-47.85542033265539,139.2730414929815
169.8,0.001059348028776732,-45.32811814459092,97.27133039868005
209.75,0.001820393610852929,-43.45105429483615,56.39721718805791
249.7,0.001611299555133776,-41.93153346389636,15.18800448249015
289.65,0.002321045005550683,-40.66700978579523,-25.90688946372734
329.6,0.001675159232205199,-39.53417457829772,-66.96783243266688
369.5500000000001,0.001772222824876832,-38.54985455263115,-107.9583648281289
409.5000000000001,0.00165520069738661,-37.64942025241876,-149.1100503139371
449.45,0.00156633705953088,-36.81869159508572,169.6296209849924
489.4000000000001,0.001837734867664692,-36.07537368210922,128.4709807427679
529.35,0.00206126363844942,-35.34789685974904,87.46104974363786
569.3000000000001,0.002095639029256853,-34.69398599782443,46.60508596262108
609.2500000000001,0.001857315474307237,-34.12341302644813,5.677943803702235
649.2,0.002448076480477227,-33.48171652698692,-36.01501408420363
689.1500000000001,0.001991349096040869,-32.92755365313189,-76.19638017358565
729.1000000000001,0.001706639351435522,-32.39643648093044,-117.7831611164989
769.0500000000002,0.00119526826239318,-31.93502204335833,-158.4658263943203
809.0000000000001,0.001489999163368886,-31.48414241172835,160.4701724585035
848.9500000000002,0.001542867382621577,-31.05381291804984,119.3783107020505
888.9000000000001,0.001652786586358871,-30.59954264878128,78.36773166421035
928.8500000000001,0.002053016924010645,-30.18097630939315,37.14430921430119
968.8000000000002,0.001100910770444838,-29.78630973602706,-3.869664266660862
1008.75,0.001279272240401057,-29.41550783288604,-44.77565035111495
1048.7,0.001489500337183375,-29.02774508941893,-85.7203162670051
1088.65,0.0009045975036069236,-28.65564395017545,-126.6759831256537
1128.6,0.0004224761585085168,-28.30789254381342,-167.6588628293099
1168.55,0.0008819048332390411,-27.9788453652294,150.9780972996296
1208.5,0.0007368160008906923,-27.62547551688106,110.0135284421437
1248.45,0.001181356270522556,-27.2769088656115,69.05054097037112
1288.4,0.0006825496706729208,-26.97604903734006,27.9926428743469
1328.35,8.908271141399897e-05,-26.66193218349716,-13.01773065383112
1368.3,0.0001028085497008632,-26.33525885432096,-53.81133975663717
1408.25,5.422170287571165e-05,-26.03044282621033,-94.83130547720077
1448.2,-0.0007061444956390194,-25.70274676800027,-135.9236336492932
1488.15,2.320282549822558e-05,-25.4109683597498,-176.9953354700131
1528.1,-0.001019361033867646,-25.13261518405877,142.1031132852786
1568.05,-0.0007123265257113405,-24.82699331319566,101.007451885043
1608,0.0003941355698204479,-24.55925526820331,59.82460246188569
1647.95,-0.00082237948912054,-24.24064977894894,18.86071851674583
1687.9,0.0002785270980686438,-23.9954813745635,-22.21597732140566
1727.85,-0.0004805274863192327,-23.69536263498123,-63.11688255436684
