#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B027D8
#Date Time: 2023-04-14 15:02:38.485
#Start: 8000 Hz
#Stop: 10 Hz
#Steps: 201
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47316 V
#Offset: 0.000111453 V
#Relative: no
#Channel: Channel 2
#Range: 5.4696 V
#Offset: 0.000228279 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.1735032939850941,-70.6215670545495,-87.01297959652203
49.95,-0.007539139865551359,-56.23551902612882,178.7804463922207
89.90000000000001,-0.001714383079071889,-51.05805537848919,-136.8116133541733
129.85,0.0004307703387223039,-47.79906681400516,-33.90506614300985
169.8,0.001087283937811618,-45.32230362955211,-39.50703319468093
209.75,0.001028901170619447,-43.48646487686791,-2.332744949354208
249.7,0.0009307900333401799,-41.94341808972198,84.25448017741553
289.65,0.001005341860940382,-40.67047075034668,93.33257656408745
329.6,0.0008943373208424142,-39.51881072567662,138.9788579886081
369.5500000000001,0.001004095286541992,-38.55198320584467,-170.1626410533553
409.5000000000001,0.001204210214668766,-37.67350684621335,-137.3324041921511
449.45,0.001535327000020957,-36.84076014433712,-95.29485386340104
489.4000000000001,0.001681151718942969,-36.06624251008176,-53.2242767797668
529.35,0.001565701747781177,-35.37244427217056,-13.58312082324176
569.3000000000001,0.001039508407618212,-34.73957356759077,29.04554515791554
609.2500000000001,0.001614542366256082,-34.01570346209137,70.53849386975131
649.2,0.000594729550309215,-33.45652562636423,111.7774042535693
689.1500000000001,0.001543451568593246,-32.9150980895872,152.696559124882
729.1000000000001,0.001364371722087843,-32.48255861212779,-166.029801174004
769.0500000000002,0.001625556260958491,-31.95232851211452,-125.2677311003137
809.0000000000001,0.001572372746524008,-31.51922023607501,-84.78637530027515
848.9500000000002,0.001055222802088273,-31.04158776554655,-43.37318960104817
888.9000000000001,0.001164329496963039,-30.59149501765638,-2.628695576738153
928.8500000000001,0.002229206937202406,-30.18367377168391,38.40148549336106
968.8000000000002,0.0005359919551534436,-29.81476696503729,79.61847461355509
1008.75,0.0003912393969453879,-29.39226779859921,120.558646580085
1048.7,0.0008945473518607905,-29.01426130388877,161.7648502945085
1088.65,-0.0006765491705115379,-28.6507507149182,-157.2474465052738
1128.6,0.0006439786941783204,-28.32403479800017,-116.2577786690193
1168.55,0.0004589339954241191,-27.96765890248587,-75.42677180573695
1208.5,-2.87440822000359e-05,-27.64912955525178,-34.35733375760451
1248.45,-0.0002240054696853793,-27.31210336893043,6.415900989153048
1288.4,0.0001050211557473748,-26.97778667464439,47.61835425817708
1328.35,-0.0003733093849700678,-26.64724408249002,88.68271544948422
1368.3,0.0002185472942184989,-26.32227489914474,129.8959004644131
1408.25,-0.001116872876106292,-26.06405996889925,170.7861993306443
